Name, Party, n_Spouses, n_Children, Religion, Birthyear 
Andrew_L._Harris, Republican Party (United States), 0, 0, None, 1835 
Andrew_L._Lewis,_Jr., Republican Party (United States), 1, 0, Schwenkfelder Church, 1931 
Andrew_L._Sevier, Democratic Party (United States), 0, 0, Presbyterian Church in the United States, 1894 
Andrew_Lanza, Republican Party (United States), 0, 0, Catholic Church, 1964 
Andrew_Lawrence_Somers, Democratic Party (United States), 0, 0, None, 1895 
Andrew_M._Maynard, Democratic Party (United States), 0, 0, None, 1962 
Andrew_Maragos, Republican Party (United States), 0, 0, None, 1945 
Andrew_Martin_(politician), Democratic Party (United States), 0, 0, None, 1964 
Andrew_McBurney, Republican Party (United States), 0, 0, None, 1817 
Andrew_McGraw, Democratic Party (United States), 0, 0, None, 1938 
Andrew_McKenna, Republican Party (United States), 0, 0, Catholic Church, None 
Andrew_McLean_(American_politician), Democratic Party (United States), 0, 0, None, None 
Andrew_Mellon, Republican Party (United States), 0, 2, Episcopal Church (United States), 1855 
Andrew_Moscrip, Republican Party (United States), 0, 0, None, 1915 
Andrew_Murr, Republican Party (United States), 0, 0, Episcopal Church (United States), 1977 
Andrew_Natsios, Republican Party (United States), 0, 0, None, None 
Andrew_P._O'Rourke, Republican Party (United States), 0, 0, Catholic Church, 1933 
Andrew_Parsons, Democratic Party (United States), 0, 0, None, 1817 
Andrew_Querbes, Democratic Party (United States), 0, 0, Catholic Church, 1864 
Andrew_R._Brodbeck, Democratic Party (United States), 0, 0, None, 1860 
Andrew_Raia, Republican Party (United States), 0, 0, None, 1968 
Andrew_Rice, Democratic Party (United States), 0, 0, None, 1973 
Andrew_Romanoff, Democratic Party (United States), 0, 0, Jews, 1966 
Andrew_Ryan_McGill, Republican Party (United States), 0, 0, Methodism, 1840 
Andrew_Saul, Republican Party (United States), 0, 0, Judaism, 1946 
Andrew_Sherwood_(politician), Democratic Party (United States), 1, 0, None, 1980 
Andrew_Shuman, Republican Party (United States), 0, 0, None, 1830 
Andrew_Sidamon-Eristoff, Republican Party (United States), 0, 0, None, 1963 
Andrew_Stein, Democratic Party (United States), 0, 0, None, 1945 
Andrew_Stevenson, Democratic Party (United States), 0, 0, None, 1784 
Andrew_Stuart_(Ohio), Democratic Party (United States), 0, 0, None, 1823 
Andrew_Thomas_(American_politician), Republican Party (United States), 0, 0, None, None 
Andrew_W._Hockenhull, Democratic Party (United States), 0, 0, Baptists, 1877 
Andrew_Williams_(congressman), Republican Party (United States), 0, 0, None, 1828 
Andrew_Young, Democratic Party (United States), 0, 0, United Church of Christ, 1932 
Andrew_Zwicker, Democratic Party (United States), 0, 0, None, 1964 
Andria_Bennett, Democratic Party (United States), 0, 0, None, None 
Andria_Tupola, Republican Party (United States), 0, 0, The Church of Jesus Christ of Latter-day Saints, None 
Andrieus_A._Jones, Democratic Party (United States), 0, 0, None, 1862 
André_Bauer, Republican Party (United States), 0, 0, None, 1969 
André_Carson, Democratic Party (United States), 0, 0, Islam, 1974 
Andy_Anders, Democratic Party (United States), 0, 0, None, 1956 
Andy_Barr_(U.S._politician), Republican Party (United States), 0, 0, Episcopal Church (United States), 1973 
Andy_Berke, Democratic Party (United States), 0, 0, None, 1968 
Andy_Beshear, Democratic Party (United States), 0, 0, Christian Church (Disciples of Christ), 1977 
Andy_Biggs_(politician), Republican Party (United States), 0, 0, None, 1958 
Andy_Billig, Democratic Party (United States), 0, 0, None, 1968 
Andy_Davis_(Arkansas_politician), Republican Party (United States), 0, 0, Southern Baptist Convention, 1975 
Andy_Dillon, Democratic Party (United States), 0, 0, None, None 
Andy_Dinniman, Democratic Party (United States), 0, 0, None, None 
Andy_Eisen, Democratic Party (United States), 0, 0, None, None 
Andy_Fleischmann, Democratic Party (United States), 0, 0, None, None 
Andy_Gardiner, Republican Party (United States), 0, 0, Methodism, 1969 
Andy_Goodell, Republican Party (United States), 0, 0, None, 1954 
Andy_Griffith, Democratic Party (United States), 0, 0, None, 1926 
Andy_Harris_(politician), Republican Party (United States), 0, 0, Catholic Church, 1957 
Andy_Hill_(politician), Republican Party (United States), 0, 0, None, None 
Andy_Jorgensen, Democratic Party (United States), 0, 0, Lutheranism, 1967 
Andy_Josephson, Democratic Party (United States), 0, 0, Judaism, 1964 
Andy_Kerr_(American_politician), Democratic Party (United States), 0, 0, None, 1968 
Andy_King_(American_politician), Democratic Party (United States), 0, 0, Christian, None 
Andy_Manar, Democratic Party (United States), 0, 0, Lutheranism, 1975 
Andy_Mayberry, Republican Party (United States), 1, 0, Missionary Baptists, 1970 
Andy_Meisner, Democratic Party (United States), 0, 0, Jews, 1973 
Andy_Neumann, Democratic Party (United States), 0, 0, Lutheranism, None 
Andy_Olson, Republican Party (United States), 0, 0, None, 1952 
Andy_Patrick, Republican Party (United States), 0, 0, None, None 
Andy_Sanborn, Republican Party (United States), 1, 0, None, None 
Andy_Schor, Democratic Party (United States), 0, 0, None, 1975 
Andy_Shallal, Democratic Party (United States), 0, 0, None, 1955 
Andy_Skoog, Democratic Party (United States), 0, 0, None, None 
Andy_Stern, Democratic Party (United States), 0, 0, Judaism, 1950 
Andy_Thompson_(Ohio_politician), Republican Party (United States), 0, 0, None, None 
Andy_Tobin, Republican Party (United States), 0, 0, None, 1958 
Aneesh_Chopra, Democratic Party (United States), 0, 0, None, 1972 
Angel_Cruz, Democratic Party (United States), 0, 0, None, None 
Angel_Taveras, Democratic Party (United States), 0, 0, None, 1970 
Angela_Angel, Democratic Party (United States), 0, 0, None, 1979 
Angela_Bryant, Democratic Party (United States), 0, 0, None, 1951 
Angela_Cockerham, Democratic Party (United States), 0, 0, None, 1976 
Angela_Corey, Republican Party (United States), 0, 0, Episcopal Church (United States), 1954 
Angela_Giron, Democratic Party (United States), 0, 0, None, 1960 
Angela_McLean, Democratic Party (United States), 0, 0, None, 1970 
Angela_Monson, Democratic Party (United States), 0, 0, None, 1955 
Angela_Romero, Democratic Party (United States), 0, 0, None, None 
Angela_Williams_(politician), Democratic Party (United States), 0, 0, None, None 
Angelica_M._Jimenez, Democratic Party (United States), 0, 0, None, 1965 
Angeline_Kopka, Democratic Party (United States), 0, 0, None, 1916 
Angelo_Carpenter, Republican Party (United States), 0, 0, None, 1827 
Angelo_D'Emilia, Republican Party (United States), 0, 0, None, None 
Angelo_Errichetti, Democratic Party (United States), 0, 0, None, 1928 
Angelo_Joseph_Rossi, Republican Party (United States), 0, 0, Catholic Church, 1878 
Angelo_Roppolo, Democratic Party (United States), 0, 0, Catholic Church, 1920 
Angelo_Santabarbara, Democratic Party (United States), 0, 0, None, None 
Angelo_Saviano, Republican Party (United States), 0, 0, Catholic Church, 1958 
Angie_Buhl, Democratic Party (United States), 0, 0, None, 1985 
Angie_Chen_Button, Republican Party (United States), 0, 0, Christianity, 1954 
Angie_Paccione, Democratic Party (United States), 0, 0, Christian, 1960 
Angier_Goodwin, Republican Party (United States), 0, 0, None, 1881 
Angus_Cameron_(American_politician), Republican Party (United States), 0, 0, None, 1826 
Angus_McKelvey, Democratic Party (United States), 0, 0, None, None 
Angus_Wilton_McLean, Democratic Party (United States), 1, 0, None, 1870 
Anibal_Ramos,_Jr., Democratic Party (United States), 0, 0, None, None 
Anice_Johnson, Republican Party (United States), 0, 0, None, 1919 
Anita_Alvarez, Democratic Party (United States), 0, 0, None, 1960 
Anita_Bonds, Democratic Party (United States), 0, 0, None, None 
Anita_Decker_Breckenridge, Democratic Party (United States), 0, 0, None, None 
Anita_Dunn, Democratic Party (United States), 1, 0, None, 1958 
Anita_Martinez, Republican Party (United States), 0, 0, None, 1925 
Anita_Palermo_Kelly, Democratic Party (United States), 0, 0, None, 1913 
Anita_Thigpen_Perry, Republican Party (United States), 1, 0, Nondenominational Christianity, 1952 
Anitere_Flores, Republican Party (United States), 0, 0, Catholic Church, 1976 
Anitra_Rasmussen, Democratic Party (United States), 0, 0, Presbyterianism, None 
Ann-Margaret_Carrozza, Democratic Party (United States), 0, 0, None, 2007 
Ann-Margaret_Ferrante, Democratic Party (United States), 0, 0, None, None 
Ann_Bartlett, Republican Party (United States), 1, 1, Catholic Church, 1920 
Ann_Bedsole, Republican Party (United States), 0, 0, United Methodist Church, 1930 
Ann_Brickley, Republican Party (United States), 0, 0, None, 1955 
Ann_C._Whitman, Republican Party (United States), 0, 0, None, 1908 
Ann_Callis, Democratic Party (United States), 0, 0, None, 1964 
Ann_Clemmer, Republican Party (United States), 0, 0, Protestantism, 1958 
Ann_Coody, Republican Party (United States), 0, 0, None, 1937 
Ann_Duplessis, Democratic Party (United States), 0, 0, None, None 
Ann_Hraychuck, Democratic Party (United States), 0, 0, None, 1951 
Ann_J._Land, Democratic Party (United States), 0, 0, None, None 
Ann_Kirkpatrick, Democratic Party (United States), 0, 0, Catholic Church, 1950 
Ann_Kobayashi, Democratic Party (United States), 0, 0, None, 1937 
Ann_Lewis, Democratic Party (United States), 1, 0, Judaism, 1937 
Ann_Lininger, Democratic Party (United States), 0, 0, None, None 
Ann_M._Ravel, Democratic Party (United States), 0, 0, None, None 
Ann_Mallek, Democratic Party (United States), 0, 0, None, 1950 
Ann_Marie_Doory, Democratic Party (United States), 0, 0, Catholicism, 1954 
Ann_McLane_Kuster, Democratic Party (United States), 0, 0, Episcopal Church (United States), 1956 
Ann_McLaughlin_Korologos, Republican Party (United States), 2, 0, None, 1941 
Ann_O'Connell, Republican Party (United States), 0, 0, None, 1934 
Ann_Richards, Democratic Party (United States), 0, 1, United Methodist Church, 1933 
Ann_Rivers, Republican Party (United States), 0, 0, None, None 
Ann_Romney, Republican Party (United States), 1, 1, The Church of Jesus Christ of Latter-day Saints, 1949 
Ann_Sothern, Republican Party (United States), 1, 1, None, 1909 
Ann_Veneman, Republican Party (United States), 0, 0, None, 1949 
Ann_Wagner, Republican Party (United States), 0, 0, Catholic Church, 1962 
Ann_Williams_(politician), Democratic Party (United States), 0, 0, None, None 
Ann_Wynia, Democratic Party (United States), 0, 0, None, 1943 
Anna_Belle_Wiedemann, Democratic Party (United States), 0, 0, None, 1931 
Anna_Border, Republican Party (United States), 0, 0, None, 1952 
Anna_C._Verna, Democratic Party (United States), 0, 0, None, 1931 
Anna_Caballero, Democratic Party (United States), 0, 0, None, 1955 
Anna_Chennault, Republican Party (United States), 1, 0, Catholic Church, 1925 
Anna_Crook, Republican Party (United States), 0, 0, None, 1934 
Anna_Dickie_Olesen, Democratic Party (United States), 0, 0, None, 1885 
Anna_Eshoo, Democratic Party (United States), 0, 0, Chaldean Catholic Church, 1942 
Anna_MacKinnon, Republican Party (United States), 0, 0, Christian, 1957 
Anna_Moeller, Democratic Party (United States), 0, 0, None, None 
Anna_Peterson, Republican Party (United States), 1, 0, None, 1947 
Anna_Tovar, Democratic Party (United States), 0, 0, None, None 
Annabel_Palma, Democratic Party (United States), 0, 0, Catholicism, None 
Annabelle_Jaramillo, Democratic Party (United States), 0, 0, None, None 
Annazette_Collins, Democratic Party (United States), 0, 0, Baptists, 1962 
Anne_Anstine, Republican Party (United States), 0, 0, None, 1924 
Anne_Armstrong, Republican Party (United States), 0, 0, None, 1927 
Anne_B._Crockett-Stark, Republican Party (United States), 0, 0, Lutheranism, 1942 
Anne_Baxter, Republican Party (United States), 1, 0, None, 1923 
Anne_Donahue, Republican Party (United States), 0, 0, None, 1956 
Anne_Gonzales, Republican Party (United States), 0, 0, Christian, 1963 
Anne_Gorsuch_Burford, Republican Party (United States), 0, 1, None, 1942 
Anne_Gust, Democratic Party (United States), 1, 0, None, 1958 
Anne_Hajek, Republican Party (United States), 0, 0, None, None 
Anne_Healey, Democratic Party (United States), 0, 0, None, 1951 
Anne_Kaiser, Democratic Party (United States), 0, 0, Jews, 1968 
Anne_M._Gannon, Democratic Party (United States), 0, 0, Catholicism, 1947 
Anne_McGihon, Democratic Party (United States), 0, 0, Episcopal Church (United States), 1957 
Anne_Northup, Republican Party (United States), 0, 0, Catholic Church, 1948 
Anne_Rudin, Democratic Party (United States), 0, 0, None, 1924 
Anne_Slaughter_Andrew, Democratic Party (United States), 1, 0, None, None 
Anne_Stevens, Republican Party (United States), 0, 0, None, None 
Anne_Thayer, Republican Party (United States), 0, 0, None, 1961 
Anne_Wexler, Democratic Party (United States), 1, 0, Jews, 1930 
Anne_X._Alpern, Democratic Party (United States), 0, 0, None, 1903 
Anne_Zerr, Republican Party (United States), 0, 0, None, 1954 
Annette_Cleveland, Democratic Party (United States), 0, 0, None, None 
Annette_Dubas, Democratic Party (United States), 0, 0, None, 1956 
Annette_Polly_Williams, Democratic Party (United States), 0, 0, None, 1937 
Annette_Quijano, Democratic Party (United States), 0, 0, None, 1962 
Annette_Robinson, Democratic Party (United States), 0, 0, Christian, None 
Annie_L._Key, Democratic Party (United States), 0, 0, None, None 
Annie_Mobley, Democratic Party (United States), 0, 0, None, 1942 
Anning_Smith_Prall, Democratic Party (United States), 0, 0, None, 1870 
Annise_Parker, Democratic Party (United States), 0, 0, United Methodist Church, 1956 
Ansel_Briggs, Democratic Party (United States), 0, 0, None, 1806 
Ansel_T._Walling, Democratic Party (United States), 0, 0, None, 1824 
Anselm_J._McLaurin, Democratic Party (United States), 0, 0, None, 1848 
Anson_F._Keeler, Republican Party (United States), 0, 0, Congregational church, 1887 
Anson_Herrick, Democratic Party (United States), 0, 0, None, 1812 
Anson_Morrill, Republican Party (United States), 0, 0, Universalism, 1803 
Anson_P._K._Safford, Republican Party (United States), 0, 0, None, 1830 
Anson_S._Marshall, Democratic Party (United States), 0, 0, None, 1822 
Anthony_A._Fleger, Democratic Party (United States), 0, 0, None, 1900 
Anthony_A._Williams, Democratic Party (United States), 0, 0, None, 1951 
Anthony_Beale, Democratic Party (United States), 0, 0, None, 1967 
Anthony_Brindisi, Democratic Party (United States), 0, 0, None, None 
Anthony_Bucco, Republican Party (United States), 0, 1, None, 1938 
Anthony_C._Beilenson, Democratic Party (United States), 0, 0, Judaism, 1932 
Anthony_Cavalcante, Democratic Party (United States), 0, 0, None, 1897 
Anthony_Cimini, Republican Party (United States), 0, 0, None, 1922 
Anthony_Colaizzo, Democratic Party (United States), 0, 0, None, 1930 
Anthony_Como, Republican Party (United States), 0, 0, Catholic Church, 1974 
Anthony_D._Galluccio, Democratic Party (United States), 0, 0, None, None 
Anthony_DeLuca_(Illinois_politician), Democratic Party (United States), 0, 0, None, 1970 
Anthony_DeVitis, Republican Party (United States), 0, 0, Baptists, None 
Anthony_DiDonato, Democratic Party (United States), 0, 0, None, 1911 
Anthony_Dimond, Democratic Party (United States), 0, 0, Catholicism, 1881 
Anthony_F._Ittner, Republican Party (United States), 0, 0, None, 1837 
Anthony_Foriest, Democratic Party (United States), 0, 0, Baptists, None 
Anthony_Foxx, Democratic Party (United States), 0, 0, None, 1971 
Anthony_G._Brown, Democratic Party (United States), 0, 0, Catholic Church, 1961 
Anthony_G._Forlini, Republican Party (United States), 0, 0, None, 1962 
Anthony_Giuliano, Republican Party (United States), 0, 0, Catholic Church, 1898 
Anthony_Guarisco,_Jr., Democratic Party (United States), 0, 0, None, 1938 
Anthony_H._Williams, Democratic Party (United States), 0, 0, None, 1957 
Anthony_Hensley, Democratic Party (United States), 0, 0, Baptists, 1953 
Anthony_Higgins_(politician), Republican Party (United States), 0, 0, None, 1840 
Anthony_Howells, Democratic Party (United States), 0, 0, None, 1832 
Anthony_J._Celebrezze, Democratic Party (United States), 0, 1, Catholic Church, 1910 
Anthony_J._Celebrezze_Jr., Democratic Party (United States), 0, 1, Catholicism, 1941 
Anthony_J._DeLuca, Democratic Party (United States), 0, 0, Catholic Church, None 
Anthony_J._Griffin, Democratic Party (United States), 0, 0, Catholic Church, 1866 
Anthony_Joseph_Scirica, Republican Party (United States), 0, 0, None, 1940 
Anthony_Lake, Democratic Party (United States), 0, 0, Jews, 1939 
Anthony_M._DeLuca, Democratic Party (United States), 0, 0, Catholic Church, 1937 
Anthony_Mandile, Democratic Party (United States), 0, 0, None, 1946 
Anthony_Masiello, Democratic Party (United States), 0, 0, None, 1947 
Anthony_Melio, Democratic Party (United States), 0, 0, None, 1932 
Anthony_O._Calabrese, Democratic Party (United States), 0, 0, None, None 
Anthony_Palumbo, Republican Party (United States), 0, 0, None, 1970 
Anthony_Petruccelli, Democratic Party (United States), 1, 0, Catholic Church, 1972 
Anthony_Portantino, Democratic Party (United States), 0, 0, None, None 
Anthony_Principi, Republican Party (United States), 0, 0, None, 1944 
Anthony_Russo_(Ohio_politician), Democratic Party (United States), 0, 0, None, None 
Anthony_S._Seminerio, Democratic Party (United States), 0, 0, None, 1935 
Anthony_Shriver, Democratic Party (United States), 0, 0, Catholic Church, 1965 
Anthony_Sinagra, Republican Party (United States), 0, 0, None, None 
Anthony_Sykes, Republican Party (United States), 0, 0, None, None 
Anthony_Verga, Democratic Party (United States), 0, 0, None, 1935 
Anthony_W._Young, Democratic Party (United States), 0, 0, None, None 
Anthony_Weiner, Democratic Party (United States), 1, 0, Judaism, 1964 
Anthony_Woods, Democratic Party (United States), 0, 0, None, 1980 
Antoine_Thompson, Democratic Party (United States), 0, 0, Baptists, 1970 
